WORD,REPLACEMENT
AV,AVENUE
RTE,ROUTE
IMP,IMPASSE
ALL,ALLEE
ALLE,ALLEE
CH,CHEMIN
CHE,CHEMIN
CHEM,CHEMIN
CHS,CHAUSSEE
COR,CORNICHE
CR,COUR
CRS,COURS
BAT,BATIMENT
BD,BOULEVARD
BLD,BOULEVARD
BVD,BOULEVARD
BLVD,BOULEVARD
BOULVARD,BOULEVARD
RES,RESIDENCE
RSD,RESIDENCE
APP,APPARTEMENT
APPT,APPARTEMENT
APT,APPARTEMENT
LGT,LOGEMENT
LGTS,LOGEMENTS
LGTN,LOGEMENT
LOGT,LOGEMENT
LOGTS,LOGEMENTS
LOGS,LOGEMENTS
LOGTS,LOGEMENTS
LOGN,LOGEMENT
LOGTN,LOGEMENT
LOGSN,LOGEMENT
LOGTSN,LOGEMENT
LOTIS,LOTISSEMENT
LOTISS,LOTISSEMENT
LOTISSMENT,LOTISSEMENT
LOTISEMENT,LOTISSEMENT
IMM,IMMEUBLE
PL,PLACE
PLC,PLACE
DOM,DOMAINE
R,RUE
PR,PROMENADE
PRO,PROMENADE
PROM,PROMENADE
DSC,DESCENTE
ECA,ECART
ESP,ESPLANADE
FG,FAUBOURG
GR,GRANDERUE
HAM,HAMEAU
HLE,HALLE
LD,LIEUDIT
LDT,LIEUDIT
MAR,MARCHE
MTE,MONTEE
PAS,PASSAGE
PASS,PASSAGE
PLN,PLAINE
PLT,PLATEAU
PRV,PARVIS
QUA,QUARTIER
QUAR,QUARTIER
QRT,QUARTIER
QT,QUARTIER
RLE,RUELLE
ROC,ROCADE
RPT,ROND-POINT
SEN,SENTIER
SENT,SENTIER
SQ,SQUARE
SQR,SQUARE
TPL,TERRE-PLEIN
TRA,TRAVERSE
VLA,VILLA
VLGE,VILLAGE
ENT,ENTREE
ETG,ETAGE
PTE,PORTE
RD,DEPARTEMENTALE
RN,NATIONALE